date,open,high,low,close,volume,amount,turnover_rate
2020-01-02,13.51,13.76,13.43,13.69,153023187.0,2571196482.0,0
2020-01-03,13.75,14.05,13.73,13.94,111619481.0,1914495475.0,0
2020-01-06,13.81,14.07,13.72,13.85,86208350.0,1477930193.0,0
2020-01-07,13.9,14.02,13.76,13.92,72860756.0,1247047135.0,0
2020-01-08,13.8,13.84,13.5,13.52,84782412.0,1423608811.0,0
2020-01-09,13.64,13.74,13.42,13.63,103163665.0,1725326806.0,0
2020-01-10,13.63,13.64,13.41,13.55,58554845.0,975154819.0,0
2020-01-13,13.59,13.82,13.48,13.79,87213336.0,1468271684.0,0
2020-01-14,13.79,14.02,13.6,13.6,130449366.0,2217608853.0,0
2020-01-15,13.63,13.68,13.35,13.41,85943912.0,1424889228.0,0
2020-01-16,13.41,13.45,13.15,13.25,102810467.0,1678888508.0,0
2020-01-17,13.29,13.43,13.27,13.3,60543669.0,995909007.0,0
2020-01-20,13.33,13.48,13.27,13.35,74607475.0,1226464650.0,0
2020-01-21,13.26,13.26,12.93,12.99,89660310.0,1442171432.0,0
2020-01-22,12.92,13.12,12.75,13.06,71946491.0,1150933399.0,0
2020-01-23,12.92,12.92,12.49,12.61,110059207.0,1723394337.0,0
2020-02-03,11.35,11.93,11.35,11.35,225919483.0,3201454165.0,0
2020-02-04,11.4,11.9,11.38,11.85,170617207.0,2442932843.0,0
2020-02-05,11.84,12.08,11.62,11.87,149138021.0,2177632044.0,0
2020-02-06,12.02,12.07,11.78,11.99,118581572.0,1740107625.0,0
2020-02-07,11.85,11.92,11.7,11.87,92485296.0,1345053256.0,0
2020-02-10,11.78,11.79,11.61,11.77,133949524.0,1931983482.0,0
2020-02-11,11.85,12.13,11.82,12.0,140750744.0,2077194139.0,0
2020-02-12,12.0,12.03,11.85,11.99,107050321.0,1573229043.0,0
2020-02-13,11.94,12.08,11.86,11.89,101320528.0,1491327714.0,0
2020-02-14,11.97,12.29,11.93,12.2,151243473.0,2253906452.0,0
2020-02-17,12.21,12.47,12.12,12.47,154369601.0,2337993586.0,0
2020-02-18,12.44,12.44,12.18,12.34,97361235.0,1478274223.0,0
2020-02-19,12.26,12.47,12.24,12.37,87410693.0,1333730219.0,0
2020-02-20,12.39,12.68,12.26,12.65,123544434.0,1897923029.0,0
2020-02-21,12.57,12.76,12.54,12.64,99507102.0,1546692930.0,0
2020-02-24,12.55,12.55,12.3,12.36,119179450.0,1820183855.0,0
2020-02-25,12.17,12.28,12.0,12.21,114457502.0,1710369786.0,0
2020-02-26,11.99,12.39,11.93,12.17,117659915.0,1769612245.0,0
2020-02-27,12.14,12.3,12.08,12.26,97527090.0,1464605739.0,0
2020-02-28,12.05,12.21,11.74,11.77,130064445.0,1906892413.0,0
2020-03-02,11.81,12.13,11.74,12.0,111658066.0,1647432270.0,0
2020-03-03,12.14,12.17,11.87,11.95,115358432.0,1705816272.0,0
2020-03-04,11.91,12.0,11.78,11.92,86259523.0,1261123064.0,0
2020-03-05,12.01,12.69,11.95,12.49,268660234.0,4089493523.0,0
2020-03-06,12.32,12.39,12.19,12.2,122853103.0,1858691259.0,0
2020-03-09,11.94,11.95,11.7,11.73,166579354.0,2420392131.0,0
2020-03-10,11.67,12.05,11.67,11.98,116786497.0,1709084565.0,0
2020-03-11,11.99,12.08,11.87,11.92,81438164.0,1201250682.0,0
2020-03-12,11.89,12.04,11.79,11.91,98649711.0,1447436642.0,0
2020-03-13,11.28,11.83,11.28,11.78,116976580.0,1669009835.0,0
2020-03-16,11.73,11.74,11.16,11.16,140620218.0,1975824191.0,0
2020-03-17,11.16,11.34,10.66,10.88,117784906.0,1582506075.0,0
2020-03-18,10.88,11.0,10.27,10.32,138478437.0,1816836894.0,0
2020-03-19,10.29,10.34,9.67,9.93,189145713.0,2313863663.0,0
2020-03-20,10.06,10.29,9.95,10.16,157835296.0,1967487818.0,0
2020-03-23,9.74,10.02,9.68,9.86,107111364.0,1300469494.0,0
2020-03-24,10.06,10.29,9.96,10.23,118020026.0,1472909400.0,0
2020-03-25,10.45,10.61,10.31,10.45,113695774.0,1467534956.0,0
2020-03-26,10.37,10.83,10.32,10.6,107519243.0,1408651057.0,0
2020-03-27,10.75,10.86,10.62,10.67,65301888.0,861618663.0,0
2020-03-30,10.43,10.58,10.36,10.5,66173879.0,852956240.0,0
2020-03-31,10.59,10.62,10.37,10.39,51337030.0,662915471.0,0
2020-04-01,10.44,10.66,10.4,10.46,52083604.0,676070118.0,0
2020-04-02,10.35,10.53,10.27,10.53,51836504.0,663197628.0,0
2020-04-03,10.4,10.46,10.19,10.23,82534814.0,1047282400.0,0
2020-04-07,10.46,10.5,10.4,10.45,87031371.0,1121200115.0,0
2020-04-08,10.45,10.49,10.32,10.37,52871614.0,676604872.0,0
2020-04-09,10.45,10.46,10.32,10.34,40855377.0,522027888.0,0
2020-04-10,10.36,10.53,10.27,10.38,66667495.0,853689950.0,0
2020-04-13,10.28,10.32,10.12,10.22,44621440.0,562008050.0,0
2020-04-14,10.27,10.44,10.2,10.44,68608687.0,874856562.0,0
2020-04-15,10.44,10.49,10.37,10.45,65639640.0,843649273.0,0
2020-04-16,10.38,10.38,10.18,10.29,78915498.0,997623816.0,0
2020-04-17,10.36,10.58,10.27,10.46,133116477.0,1713215767.0,0
2020-04-20,10.44,10.59,10.36,10.54,81845583.0,1058524019.0,0
2020-04-21,10.79,11.12,10.79,10.92,212244834.0,2861879086.0,0
2020-04-22,10.85,10.89,10.68,10.74,103280274.0,1368222855.0,0
2020-04-23,10.74,10.8,10.64,10.74,64698963.0,855052110.0,0
2020-04-24,10.69,10.78,10.64,10.75,56600161.0,747473770.0,0
2020-04-27,10.79,11.07,10.75,10.96,93682990.0,1263809737.0,0
2020-04-28,10.92,11.01,10.77,10.97,77156417.0,1038718080.0,0
2020-04-29,10.94,11.44,10.92,11.38,110872239.0,1541638203.0,0
2020-04-30,11.38,11.62,11.26,11.31,81954043.0,1155968238.0,0
2020-05-06,11.17,11.27,11.05,11.18,100899802.0,1382727482.0,0
2020-05-07,11.17,11.17,11.04,11.11,66274923.0,904349532.0,0
2020-05-08,11.17,11.38,11.1,11.32,93478170.0,1297924588.0,0
2020-05-11,11.3,11.47,11.28,11.36,61286229.0,859156594.0,0
2020-05-12,11.32,11.4,11.14,11.19,55851114.0,772109502.0,0
2020-05-13,11.16,11.18,10.98,11.06,64035879.0,871062044.0,0
2020-05-14,11.0,11.03,10.73,10.79,94467209.0,1259440848.0,0
2020-05-15,10.87,10.9,10.66,10.74,75679447.0,1004313268.0,0
2020-05-18,10.71,10.83,10.65,10.71,63720857.0,843479670.0,0
2020-05-19,10.88,10.92,10.77,10.84,60036864.0,801755671.0,0
2020-05-20,10.86,11.05,10.77,10.96,69085107.0,929928886.0,0
2020-05-21,10.97,11.01,10.84,10.88,55231200.0,742797057.0,0
2020-05-22,10.82,10.83,10.49,10.49,85623733.0,1119433491.0,0
2020-05-25,10.53,10.53,10.36,10.52,41017078.0,528769353.0,0
2020-05-26,10.57,10.61,10.5,10.58,39621240.0,515451849.0,0
2020-05-27,10.59,10.7,10.52,10.55,48296294.0,630305864.0,0
2020-05-28,10.62,10.88,10.57,10.79,96076031.0,1255226999.0,0
2020-05-29,10.74,10.76,10.66,10.73,45780822.0,594502124.0,0
2020-06-01,10.81,11.05,10.8,10.99,88296055.0,1173619007.0,0
2020-06-02,10.97,11.25,10.96,11.18,88345888.0,1194375822.0,0
2020-06-03,11.26,11.46,11.14,11.18,95680308.0,1308782295.0,0
