date,open,high,low,close,volume,amount,turnover_rate
2020-01-02,4.38,4.4,4.37,4.39,72808500.0,427014028.0,0
2020-01-03,4.39,4.48,4.38,4.45,119856782.0,712671271.0,0
2020-01-06,4.51,4.69,4.5,4.66,301646124.0,1859195864.0,0
2020-01-07,4.61,4.61,4.54,4.57,152681755.0,931508895.0,0
2020-01-08,4.68,4.71,4.6,4.66,215451333.0,1337592338.0,0
2020-01-09,4.51,4.54,4.48,4.53,159983683.0,966146262.0,0
2020-01-10,4.51,4.51,4.45,4.48,92130621.0,551691385.0,0
2020-01-13,4.48,4.48,4.43,4.46,55118392.0,327829650.0,0
2020-01-14,4.45,4.47,4.44,4.45,44480419.0,265271834.0,0
2020-01-15,4.45,4.46,4.38,4.39,72014546.0,424495017.0,0
2020-01-16,4.4,4.4,4.34,4.36,57860992.0,337630232.0,0
2020-01-17,4.37,4.39,4.36,4.37,36667641.0,214376983.0,0
2020-01-20,4.37,4.38,4.34,4.37,53408389.0,311510573.0,0
2020-01-21,4.37,4.37,4.32,4.33,56028546.0,324824586.0,0
2020-01-22,4.31,4.31,4.27,4.29,66239738.0,379676573.0,0
2020-01-23,4.26,4.28,4.2,4.22,81444447.0,460859100.0,0
2020-02-03,3.84,3.95,3.8,3.83,227093729.0,1167352624.0,0
2020-02-04,3.79,3.88,3.78,3.86,106459420.0,547645930.0,0
2020-02-05,3.86,3.94,3.83,3.89,102318674.0,532964335.0,0
2020-02-06,3.92,3.95,3.89,3.94,86647363.0,455310305.0,0
2020-02-07,3.92,3.95,3.89,3.95,61128263.0,319828128.0,0
2020-02-10,3.92,3.95,3.9,3.95,56130919.0,295251828.0,0
2020-02-11,3.94,3.99,3.93,3.96,71171722.0,377281439.0,0
2020-02-12,3.95,3.98,3.95,3.97,54500038.0,288657741.0,0
2020-02-13,3.98,4.0,3.95,3.95,53568587.0,284224188.0,0
2020-02-14,3.93,3.96,3.92,3.95,47917020.0,252872541.0,0
2020-02-17,3.95,4.02,3.94,4.02,84392095.0,450155266.0,0
