# WARNING: in_date为数据首次出现日，非实际A50纳入日。后续需升级为CSI官方调整记录
# author: 墨衡 (DeepSeek R1)
# created_time: 2026-05-29T22:35+08:00
ts_code,stock_name,in_date,out_date,source
000001.SZ,,20070104,,by_define
000002.SZ,,20070104,,by_define
000100.SZ,,20070104,,by_define
000333.SZ,,20130918,,by_define
000538.SZ,,20070104,,by_define
000568.SZ,,20070104,,by_define
000651.SZ,,20070104,,by_define
000725.SZ,,20070104,,by_define
000858.SZ,,20070104,,by_define
002049.SZ,,20070104,,by_define
002129.SZ,,20070420,,by_define
002142.SZ,,20070719,,by_define
002230.SZ,,20080512,,by_define
002304.SZ,,20091106,,by_define
002352.SZ,,20100205,,by_define
002415.SZ,,20100528,,by_define
002475.SZ,,20100915,,by_define
002594.SZ,,20110630,,by_define
002714.SZ,,20140128,,by_define
002916.SZ,,20171213,,by_define
300059.SZ,,20100319,,by_define
300124.SZ,,20100928,,by_define
300274.SZ,,20111102,,by_define
300750.SZ,,20180611,,by_define
300782.SZ,,20190618,,by_define
600000.SH,,20070104,,by_define
600016.SH,,20070104,,by_define
600019.SH,,20070104,,by_define
600028.SH,,20070104,,by_define
600030.SH,,20070104,,by_define
600036.SH,,20070104,,by_define
600104.SH,,20070104,,by_define
600276.SH,,20070104,,by_define
600372.SH,,20070104,,by_define
600519.SH,,20070104,,by_define
600585.SH,,20070104,,by_define
600690.SH,,20070104,,by_define
600887.SH,,20070104,,by_define
600900.SH,,20070104,,by_define
601088.SH,,20071009,,by_define
601166.SH,,20070205,,by_define
601288.SH,,20100715,,by_define
601318.SH,,20070301,,by_define
601328.SH,,20070515,,by_define
601398.SH,,20070104,,by_define
601668.SH,,20090729,,by_define
601857.SH,,20071105,,by_define
601939.SH,,20070925,,by_define
601988.SH,,20070104,,by_define
688981.SH,,20200716,,by_define
